group,names,scores,logfoldchanges,pvals,pvals_adj
iEC,Nab2,-0.49477467,-0.064170785,0.6207591907967305,1.0
iEC,CG31122,-0.49504068,0.0073135206,0.6205714114113713,1.0
iEC,CG6724,-0.49517366,-0.28513673,0.620477530990333,1.0
iEC,Csl4,-0.49892437,-0.44632983,0.6178326533566126,1.0
iEC,Sce,-0.5000239,-0.55308205,0.6170582587794426,1.0
iEC,CG15449,-0.5002899,-1.060678,0.6168709691696795,1.0
iEC,CG12065,-0.50044066,-0.037658747,0.6167648494532376,1.0
iEC,Camp,-0.5013894,-0.5269493,0.6160971032984536,1.0
iEC,Fsn,-0.50249773,-0.37243378,0.6153174282454852,1.0
iEC,spn-A,-0.5035352,-0.361469,0.6145880457158722,1.0
iEC,CG2614,-0.5042002,-0.1828827,0.6141206931264573,1.0
iEC,Cp190,-0.50475883,0.022528205,0.6137282380261327,1.0
iEC,CG43902,-0.5068248,-0.1801648,0.6122777391209567,1.0
iEC,sc,-0.5070465,-0.14740114,0.6121221962867397,1.0
iEC,CG3436,-0.5074987,-0.21613282,0.6118049431186668,1.0
iEC,Sec5,-0.50874007,-0.38055813,0.6109344264317391,1.0
iEC,fbl,-0.5087578,-0.25490013,0.6109219944584109,1.0
iEC,Sara,-0.5101499,-0.019368976,0.6099464347784799,1.0
iEC,l(3)04053,-0.51046026,-0.131062,0.6097290476801336,1.0
iEC,CkIIalpha-i1,-0.51064646,-1.7794164,0.6095986319490307,1.0
iEC,dgo,-0.510744,-0.024986027,0.6095303238955716,1.0
iEC,Ugt49B1,-0.5109657,-1.2603558,0.609375090975149,1.0
iEC,lute,-0.51159525,-0.051792905,0.6089343253702267,1.0
iEC,CARPB,-0.51162183,-0.3548065,0.6089157045958956,1.0
iEC,pad,-0.5117282,-0.31088975,0.6088412240328536,1.0
iEC,CG11836,-0.5125085,-0.68650126,0.6082951571898667,1.0
iEC,CG9641,-0.51265925,-0.26178628,0.6081896921594865,1.0
iEC,CG44249,-0.5139095,-1.678167,0.6073152670720192,1.0
iEC,CG9992,-0.51429963,-0.10700632,0.6070425117636864,1.0
iEC,pippin,-0.5154612,-0.12675108,0.606230768942626,1.0
iEC,CG6928,-0.5154612,-0.39898315,0.606230768942626,1.0
iEC,Gen,-0.5155499,-0.4374331,0.6061688237922986,1.0
iEC,Sod2,-0.5158691,-0.12213812,0.6059458446998431,1.0
iEC,APC4,-0.5170839,-0.49482435,0.6050976212367964,1.0
iEC,sip2,-0.5170927,-0.054992978,0.6050914317816499,1.0
